alim_grp_code;alim_ssgrp_code;alim_ssssgrp_code;alim_grp_nom_fr;alim_ssgrp_nom_fr;alim_ssssgrp_nom_fr;alim_code;alim_nom_fr;alim_nom_sci;Energie, Règlement UE N° 1169/2011 (kJ/100 g);Energie, Règlement UE N° 1169/2011 (kcal/100 g);Energie, N x facteur Jones, avec fibres  (kJ/100 g);Energie, N x facteur Jones, avec fibres  (kcal/100 g);Eau (g/100 g);Protéines, N x facteur de Jones (g/100 g);Protéines, N x 6.25 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Fructose (g/100 g);Galactose (g/100 g);Glucose (g/100 g);Lactose (g/100 g);Maltose (g/100 g);Saccharose (g/100 g);Amidon (g/100 g);Fibres alimentaires (g/100 g);Polyols totaux (g/100 g);Cendres (g/100 g);Alcool (g/100 g);Acides organiques (g/100 g);AG saturés (g/100 g);AG monoinsaturés (g/100 g);AG polyinsaturés (g/100 g);AG 4:0, butyrique (g/100 g);AG 6:0, caproïque (g/100 g);AG 8:0, caprylique (g/100 g);AG 10:0, caprique (g/100 g);AG 12:0, laurique (g/100 g);AG 14:0, myristique (g/100 g);AG 16:0, palmitique (g/100 g);AG 18:0, stéarique (g/100 g);AG 18:1 9c (n-9), oléique (g/100 g);AG 18:2 9c,12c (n-6), linoléique (g/100 g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g);Cholestérol (mg/100 g);Sel chlorure de sodium (g/100 g);Calcium (mg/100 g);Chlorure (mg/100 g);Cuivre (mg/100 g);Fer (mg/100 g);Iode (µg/100 g);Magnésium (mg/100 g);Manganèse (mg/100 g);Phosphore (mg/100 g);Potassium (mg/100 g);Sélénium (µg/100 g);Sodium (mg/100 g);Zinc (mg/100 g);Rétinol (µg/100 g);Beta-Carotène (µg/100 g);Vitamine D (µg/100 g);Vitamine E (mg/100 g);Vitamine K1 (µg/100 g);Vitamine K2 (µg/100 g);Vitamine C (mg/100 g);Vitamine B1 ou Thiamine (mg/100 g);Vitamine B2 ou Riboflavine (mg/100 g);Vitamine B3 ou PP ou Niacine (mg/100 g);Vitamine B5 ou Acide pantothénique (mg/100 g);Vitamine B6 (mg/100 g);Vitamine B9 ou Folates totaux (µg/100 g);Vitamine B12 (µg/100 g)
0;0;0;;;;24999;Dessert (aliment moyen);;;;;;45.4;4.63;4.61;36.6;12.9;23.7;1.81;;2.18;1.89;1.07;15.7;9.53;1.54;;0.92;0.081;0.083;5.18;4.74;1.68;0.14;0.19;0.083;0.14;0.35;0.55;2.47;0.99;4.62;1.32;0.37;0.012;0.0041;0.0051;56.7;0.38;75;178;0.15;1.45;11;23.8;0.23;107;181;7.04;153;0.5;56.3;34.6;0.27;1.97;;;1.37;0.084;0.15;0.61;0.4;0.056;30.8;0.21
1;101;0;entrées et plats composés;salades composées et crudités;-;25601;Salade de thon et légumes, appertisée;;-;-;-;-;76.5;9.15;9.15;7.74;4.7;3.08;0.82;-;0.78;-;< 0,3;0.97;4.1;2.7;-;1.79;0;-;0.56;1.83;1.76;< 0,05;< 0,05;< 0,05;< 0,05;< 0,05;0.008;0.38;0.12;-;1.15;0.056;-;0.008;0.039;19.2;1.11;20.7;731;0.1;1.1;2;25.1;0.1;88.4;232;-;445;0.6;< 2;-;< 0,5;1.6;-;-;2.75;< 0,04;0.053;4.45;< 0,16;0.29;31;1.45
1;101;0;entrées et plats composés;salades composées et crudités;-;25602;Salade composée avec viande ou poisson, appertisée;;-;-;-;-;76.7;8.06;8.06;6.4;5.3;1.9;0.7;-;0.6;< 0,2;< 0,2;0.6;3.3;2;-;1.5;0;-;0.16;3.27;1.54;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;0.12;0.04;2.24;1.08;0.28;0.016;0.016;0.15;15.2;0.95;22;584;0.07;0.7;< 20;20;0.1;92;220;30;381;0.38;< 21;781;0.44;2.04;9.75;-;-;0.032;0.022;4.13;0.2;0.12;11.1;1.23
1;101;0;entrées et plats composés;salades composées et crudités;-;25605;Champignons à la grecque, appertisés;;-;-;-;-;85.2;2.08;2.08;3.95;3.55;2.38;0.7;-;1;< 0,3;< 0,3;0.3;0.99;2.35;-;1.65;0;-;0.23;0.2;1.67;-;-;-;-;-;-;-;-;-;-;0.026;-;-;-;0.11;1.26;27;-;0.17;1.06;2.46;13.5;0.13;64.1;277;1.79;500;0.4;0;747;0;1.08;-;-;6.67;0.056;0.21;1.84;0.88;0.088;19.6;0.018
1;101;0;entrées et plats composés;salades composées et crudités;-;25606;Salade de pommes de terre, fait maison;;-;-;-;-;76;2.68;2.68;9.9;8.2;-;-;-;-;-;-;-;-;1.3;-;1.95;0;-;1.43;2.48;3.74;-;-;-;0;0.011;0.013;1.03;0.37;-;-;-;-;-;-;68;1.32;19;-;0.12;0.65;-;15;0.1;52;254;-;529;0.31;29;36;0;-;-;-;10;0.077;0.06;0.89;0.53;0.14;7;0
1;101;0;entrées et plats composés;salades composées et crudités;-;25608;Taboulé ou Salade de couscous, préemballé;;753;179;753;179;60.3;4.88;4.88;23.7;6.7;4.9;2;< 0,2;1.5;< 0,2;1.4;< 0,2;17.7;2.5;0.9;1.52;0;0.38;0.67;4.23;1.45;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;0.47;0.15;3.95;1.1;0.34;< 0,01;< 0,01;< 0,01;0.1;1;24;647;0.16;0.88;< 20;25;0.4;80;210;< 20;399;0.65;0;149;0;1.26;10.6;-;6.27;0.087;0.024;0.5;0.26;0.052;14.5;0
1;101;0;entrées et plats composés;salades composées et crudités;-;25609;Salade de pomme de terre à la piémontaise, préemballée;;542;130;542;130;75.8;4.5;4.5;8.87;8.3;1.2;0.5;< 0,2;0.7;< 0,2;< 0,2;< 0,2;6;< 0,5;< 0,5;1.74;0;0.54;0.82;5.02;2.04;< 0,01;< 0,01;< 0,01;< 0,01;< 0,01;0.01;0.54;0.2;4.57;1.47;0.57;< 0,01;< 0,01;< 0,01;29.6;1.08;13;709;0.07;0.43;< 20;16;0.08;72;300;< 20;433;0.49;< 21;93.6;0.5;3.96;10.9;-;21.6;0.08;0.049;0.98;0.44;0.099;21.6;-
1;101;0;entrées et plats composés;salades composées et crudités;-;25614;Salade de riz, appertisée;;-;-;-;-;72.5;5.13;5.13;16.1;4.35;1;-;-;-;-;-;-;14.3;1.7;-;1.49;0;-;0.53;2.23;-;-;-;-;-;0.0042;0.0083;0.36;0.12;2.23;1.05;0.2;-;-;0.013;6.5;1.1;23.3;-;< 0,1;0.43;< 5;13.1;0.1;66.6;143;17.7;431;0.3;< 2;34;< 0,5;1.63;-;-;4.48;0.058;0.045;2.65;0.14;0.13;33.5;0.43
1;101;0;entrées et plats composés;salades composées et crudités;-;25615;Salade de pâtes, végétarienne;;-;-;-;-;72.6;5.7;5.7;13.7;8.1;2.3;0.6;0;0.6;0;0.1;0.8;10;1.7;-;1.18;0;-;2.37;1.46;3.92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1.04;14;86;0.06;0.6;4;11;0.2;37;84;-;51;0.4;7;1180;0;1.95;-;-;21;0.04;0.02;0.4;0;0.09;16;0
